film_id,titre,genre_principale,date_sortie_france,date_sortie_usa,image_url,synopsis,duree,note_moyenne,acteurs,entrees_demarrage_france,entrees_totales_france,budget,recette_usa,recette_reste_du_monde,recette_monde,duree_minutes
20156,L'Extraordinaire Voyage de Marona,Animation,2020-01-08,,https://www.jpbox-office.com/cinema/images/posters/20156-20200215103437-0.jpg,"Victime d’un accident, Marona, une petite chienne, se remémore les différents maîtres qu’elle a connus et aimés tout au long de sa vie. Par son empathie sans faille, sa vie devient une leçon d’amour.",1h 32min,Non disponible,Non disponible,,,,,41568.0,41568.0,92.0
19778,Les Filles du Docteur March,Adaptation Livre,2020-01-01,2019-12-25,https://www.jpbox-office.com/cinema/images/posters/19778-20191209063717-0.jpg,"Une nouvelle adaptation du classique de Louisa May Alcott, narrant l'histoire de quatre filles de la classe moyenne durant la Guerre de Sécession.",2h 15min,3,Emma Watson (Rôle principal - - Meg March) | Timothée Chalamet (Second rôle - - Theodore) | Meryl Streep (Second rôle - - Tante March) | Alexandre Desplat,,,40000000.0,108101214.0,92100000.0,200201214.0,135.0
18940,Birds of Prey et la fabuleuse histoire de Harley Quinn,Adaptation BD,2020-02-05,2020-02-07,https://www.jpbox-office.com/cinema/images/posters/18940-20190921092213-0.jpg,"Vous connaissez l'histoire du flic, de l'oiseau chanteur, de la cinglée et de la princesse mafieuse ?
BIRDS OF PREY (ET LA FANTABULEUSE HISTOIRE D'HARLEY QUINN) est une histoire déjantée racontée par Harley en personne – d'une manière dont elle seule a le secret. Lorsque Roman Sionis, l'ennemi le plus abominable – et le plus narcissique – de Gotham, et son fidèle acolyte Zsasz décident de s'en prendre à une certaine Cass, la ville est passée au peigne fin pour retrouver la trace de la jeune fille. Les parcours de Harley, de la Chasseuse, de Black Canary et de Renee Montoya se télescopent et ce quatuor improbable n'a d'autre choix que de faire équipe pour éliminer Roman…",1h 49min,3,Margot Robbie (Rôle principal - - Harley Quinn) | Ewan McGregor (Second rôle - - Roman Sionis / Black Mask),,,84500000.0,84158461.0,117700000.0,201858461.0,109.0
18815,"Sonic, le hérisson",Adapt. Jeu Vidéo,2020-02-12,2020-02-14,https://www.jpbox-office.com/cinema/images/posters/18815-20200208100032-0.jpg,"L'histoire du hérisson bleu le plus rapide du monde qui arrive sur Terre, sa nouvelle maison. Sonic et son nouveau meilleur ami Tom font équipe pour sauver la planète du diabolique Dr. Robotnik, bien déterminé à régner sur le monde entier.",1h 40min,3,Jim Carrey (Rôle principal - - Dr. Ivo Robotnik) | Neal H. Moritz,,,95000000.0,146066470.0,168755633.0,314822103.0,100.0
21042,Uncharted,Adapt. Jeu Vidéo,2022-02-16,2022-02-18,https://www.jpbox-office.com/cinema/images/posters/21042-20220212105048-0.jpg,"Nathan Drake, voleur astucieux et intrépide, est recruté par le chasseur de trésors chevronné Victor « Sully » Sullivan pour retrouver la fortune de Ferdinand Magellan, disparue il y a 500 ans. Ce qui ressemble d’abord à un simple casse devient finalement une course effrénée autour du globe pour s’emparer du trésor avant l’impitoyable Moncada, qui est persuadé que sa famille est l’héritière légitime de cette fortune. Si Nathan et Sully réussissent à déchiffrer les indices et résoudre l’un des plus anciens mystères du monde, ils pourraient rafler la somme de 5 milliards de dollars et peut-être même retrouver le frère de Nathan, disparu depuis longtemps… mais encore faudrait-il qu’ils apprennent à travailler ensemble.",1h 55min,3,Tom Holland (Rôle principal - - Nathan Drake) | Mark Wahlberg (Rôle principal - - Victor 'Sully' Sullivan) | Antonio Banderas (Second rôle - - Moncada) | Avi Arad (Producteur),,,120000000.0,148648820.0,252041094.0,400689914.0,115.0
21590,Sonic 2 le film,Adapt. Jeu Vidéo,2022-03-30,2022-04-08,https://www.jpbox-office.com/cinema/images/posters/21590-20211219113139-0.jpg,"Bien installé dans la petite ville de Green Hills, Sonic veut maintenant prouver qu’il a l’étoffe d' un véritable héros. Un défi de taille se présente à lui quand le Dr Robotnik refait son apparition. Accompagné de son nouveau complice Knuckles, ils sont en quête d’une émeraude dont le pouvoir permettrait de détruire l’humanité toute entière. Pour s’assurer que l’émeraude ne tombe entre de mauvaises mains, Sonic fait équipe avec Tails. Commence alors un voyage à travers le monde, plein de péripéties.",2h 02min,4,Jim Carrey (Rôle principal - - Doctor Robotnik/Eggman) | Neal H. Moritz (Producteur),,,90000000.0,190872904.0,211783942.0,402656846.0,122.0
22622,Gran Turismo,Adapt. Jeu Vidéo,2023-08-09,2023-08-25,https://www.jpbox-office.com/cinema/images/posters/A-2023-22622-20230513062530.jpg,"Gran Turismo retrace l'incroyable histoire vraie d'une équipe d'outsiders : un gamer issu de la classe ouvrière, un ex-pilote de course raté et un cadre idéaliste de l’industrie du sport automobile. Ensemble, ils risquent tout et s'attaquent au sport le plus élitiste au monde.",2h 14min,5,Orlando Bloom (Rôle principal - - Danny Moore),,,60000000.0,44428554.0,73854717.0,118283271.0,134.0
23534,Borderlands,Adapt. Jeu Vidéo,2024-08-07,2024-08-09,https://www.jpbox-office.com/cinema/images/posters/A-2024-23534-20240410114402.jpg,"Lilith, une chasseuse de primes au passé trouble, revient à contrecœur sur sa planète natale, Pandore, la planète la plus chaotique de la galaxie… Sa mission est de retrouver la fille disparue d'Atlas, l’homme le plus puissant (et le plus méprisable) de l’univers. Pour y arriver Lilith va devoir former une alliance inattendue avec une joyeuse équipe de marginaux : Roland, un mercenaire chevronné ; Tiny Tina, une pré-ado avec un gros penchant pour la démolition ; Krieg, le protecteur musclé de Tina ; Tannis , une scientifique fantasque ; et Claptrap, un robot très bavard. Ensemble, ces héros improbables vont devoir affronter les pires espèces extraterrestres et de dangereux bandits pour découvrir les secrets les plus explosifs de Pandore. Basé sur l'une des franchises de jeux vidéo les plus vendues de tous les temps, bienvenue à BORDERLANDS !",1h 42min,3,Cate Blanchett (Rôle principal - - Lilith) | Kevin Hart (Rôle principal - - Roland) | Jamie Lee Curtis (Second rôle - - Tannis) | Jack Black (Voix-off - - Claptrap) | Avi Arad (Producteur),,,115000000.0,15482668.0,7700000.0,23182668.0,102.0
23503,Sonic 3,Adapt. Jeu Vidéo,2024-12-25,2024-12-20,https://www.jpbox-office.com/cinema/images/posters/A-2024-23503-20241220073656.jpg,"Sonic, Knuckles et Tails se retrouvent face à un nouvel adversaire, Shadow, mystérieux et puissant ennemi aux pouvoirs inédits. Dépassée sur tous les plans, la Team Sonic va devoir former une alliance improbable pour tenter d’arrêter Shadow et protéger notre planète.",1h 50min,4,Jim Carrey (Rôle principal - - Dr. Robotnik) | Idris Elba (Voix-off - - Knuckles) | Keanu Reeves (Voix-off - - Shadow) | Neal H. Moritz (Producteur),,,122000000.0,236115100.0,253500000.0,489615100.0,110.0
24033,"Minecraft, Le Film",Adapt. Jeu Vidéo,2025-04-02,2025-04-04,https://www.jpbox-office.com/cinema/images/posters/A-2025-24033-20250302101330.jpg,"Bienvenue dans l’univers de Minecraft où la créativité est essentielle à la survie ! Quatre outsiders – Garrett, Henry, Natalie et Dawn – sont soudainement projetés à travers un mystérieux portail menant à La Surface – un incroyable monde cubique qui prospère grâce à l’imagination. Pour rentrer chez eux, il leur faudra maîtriser ce monde (et le protéger de créatures maléfiques comme les Piglins et les Zombies), tout en s’engageant dans une quête fantastique aux côtés de Steve, expert fabricateur. Cette aventure les poussera à être audacieux et à développer leur créativité. Autant de facultés dont ils auront besoin pour s’épanouir dans le monde réel.",1h 41min,Non disponible,Jack Black (Rôle principal - - Steve) | Jason Momoa (Rôle principal - - Garrett Garrison),,,150000000.0,58000000.0,,58000000.0,101.0
